192.168.5.11,Office,a4:14:37:74:33:37,192.168.0.4,15
192.168.5.30,Laundry,B4:A3:82:06:6A:9E,192.168.0.4,9
192.168.5.31,Kitchen,C4:2F:90:EC:F6:2F,192.168.0.4,8
192.168.5.50,Living Room #1,C4:2F:90:75:5A:E3,192.168.0.4,21
192.168.5.51,Living Room #2,C4:2F:90:EC:F6:22,192.168.0.4,17
192.168.5.60,Bathroom Shower,C4:2F:90:EC:F5:D6,192.168.0.4,11
192.168.5.61,Bathroom Mirror,C4:2F:90:EC:F6:11,192.168.0.4,7
192.168.5.70,Bedroom Cam 1,C4:2F:90:EC:F5:D9,192.168.0.4,20
192.168.5.71,Bedroom Cam 2,C4:2F:90:EC:F5:D7,192.168.0.4,12
